mahalle,brut_alan_m2,net_alan_m2,oda_sayisi,bina_kat_sayisi,dairenin_bulundugu_kat,bina_yas,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,sahibi,aidat,depozito,fiyat
Bayındır Mh.,90.0,80.0,2+1,4.0,Giriş Katı,21-25 arası,Klima,1.0,0,0,Açık Otopark,1,0,0,100,15000,15000.0
Çaybaşı Mh.,145.0,135.0,3+1,5.0,1,0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,0,1,0,1500,30000,29000.0
Güzeloba Mh.,145.0,130.0,3+1,4.0,3,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,0,1,500,25000,24750.0
Şirinyalı Mh.,230.0,200.0,3+1,3.0,2,5-10 arası,Doğalgaz Sobası,2.0,0,0,Açık Otopark,1,0,0,0,30000,30000.0
Çağlayan Mh.,320.0,300.0,4+2,8.0,8,16-20 arası,Klima,3.0,1,1,Açık Otopark,0,1,0,0,37500,37500.0
Kızılsaray Mh.,140.0,130.0,3+1,10.0,Giriş Altı Kot 2,26-30 arası,Klima,1.0,1,1,Yok,1,0,1,0,50000,25000.0
Zerdalilik Mah.,120.0,115.0,3+1,3.0,1,31 ve üzeri,Klima,1.0,1,0,Açık Otopark,0,0,0,100,13000,13000.0
Kızılarık Mh.,100.0,90.0,2+1,4.0,3,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0,14000.0
Meydankavağı Mh.,155.0,145.0,3+1,9.0,6,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,0,25000,25000.0
Yenigün Mh.,85.0,80.0,2+1,4.0,4,21-25 arası,Klima,1.0,1,0,Yok,0,0,0,0,22000,11500.0
Meltem Mah.,130.0,120.0,3+1,8.0,1,26-30 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,44000,24000.0
Elmalı Mh.,40.0,35.0,1+1,4.0,4,31 ve üzeri,Yerden Isıtma,1.0,0,0,Yok,1,0,0,0,0,15800.0
Güvenlik Mh.,25.0,20.0,Stüdyo (1+0),5.0,1,1,Klima,1.0,0,0,Açık Otopark,1,0,0,0,10000,11000.0
Gebizli Mah.,70.0,60.0,1+1,4.0,Giriş Katı,5-10 arası,Klima,1.0,0,1,Açık Otopark,0,0,0,0,0,15000.0
Muratpaşa Mh.,100.0,95.0,2+1,4.0,4,21-25 arası,Klima,1.0,1,0,Yok,0,0,0,0,0,12500.0
Çağlayan Mh.,70.0,60.0,1+1,11.0,Giriş Katı,11-15 arası,Yok,1.0,0,1,Açık Otopark,0,1,0,1200,13000,13000.0
Güzeloba Mh.,75.0,70.0,1+1,2.0,Yüksek Giriş,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,15000,15000.0
Çağlayan Mh.,245.0,225.0,4+1,4.0,4,5-10 arası,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,1,0,2000,60000,55000.0
Güzeloba Mh.,65.0,60.0,1+1,2.0,Yüksek Giriş,5-10 arası,Kombi (Elektrik),1.0,1,0,Açık Otopark,1,0,0,0,30000,17000.0
Güzeloba Mh.,170.0,160.0,3+1,2.0,2,5-10 arası,Klima,2.0,1,0,Açık Otopark,1,0,0,0,0,29000.0
Çağlayan Mh.,60.0,55.0,1+1,4.0,Giriş Katı,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,18000,18000.0
Etiler Mah.,120.0,110.0,3+1,3.0,Giriş Katı,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,50,20000,13500.0
Fener Mah.,200.0,190.0,3+1,11.0,1,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,40000,40000.0
Güzeloba Mh.,210.0,180.0,4+1,3.0,2,5-10 arası,Klima,2.0,1,0,Açık Otopark,1,0,0,50,50000,40000.0
Şirinyalı Mh.,165.0,150.0,3+1,4.0,3,21-25 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,0,50000,25000.0
Yüksekalan Mh.,105.0,95.0,2+1,5.0,4,11-15 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,100,16000,16000.0
Güzeloba Mh.,160.0,150.0,3+1,4.0,Giriş Katı,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,1,0,0,80000,45000.0
Çağlayan Mh.,120.0,110.0,2+1,10.0,7,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,1,2910,50000,55000.0
Güzeloba Mh.,90.0,80.0,2+1,3.0,2,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,100,15000,15000.0
Meydankavağı Mh.,150.0,140.0,3+1,8.0,1,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,16500,16500.0
Elmalı Mh.,150.0,140.0,3+1,7.0,4,31 ve üzeri,Klima,1.0,1,1,Yok,0,1,0,500,25000,25000.0
Varlık Mh.,135.0,125.0,3+1,5.0,1,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0,15000.0
Fener Mah.,50.0,45.0,1+1,15.0,3,16-20 arası,Klima,1.0,0,1,Açık Otopark,1,0,0,750,19000,19000.0
Konuksever Mah.,100.0,90.0,2+1,3.0,3,16-20 arası,Yok,1.0,1,0,Açık Otopark,0,0,1,100,15000,15000.0
Doğuyaka Mh.,100.0,85.0,2+1,5.0,1,5-10 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,1,300,30000,20000.0
Fener Mah.,210.0,190.0,3+1,13.0,11,21-25 arası,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,0,1,0,70000,0,70000.0
Bayındır Mh.,145.0,130.0,3+1,4.0,2,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,70,20000,18000.0
Haşimişcan Mh.,135.0,125.0,3+1,7.0,6,21-25 arası,Yok,2.0,1,1,Yok,0,0,0,0,27000,24000.0
Yüksekalan Mh.,120.0,110.0,2+1,4.0,3,4,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,0,23000,23000.0
Gençlik Mh.,145.0,120.0,3+1,7.0,5,26-30 arası,Klima,1.0,1,1,Yok,1,0,0,165,50000,26000.0
Şirinyalı Mh.,170.0,160.0,2+1,6.0,Yüksek Giriş,16-20 arası,Klima,2.0,1,1,Yok,1,0,0,0,0,30000.0
Çaybaşı Mh.,85.0,70.0,2+1,5.0,1,11-15 arası,Klima,1.0,0,1,Yok,0,0,0,300,16000,16000.0
Güzeloba Mh.,90.0,85.0,2+1,2.0,1,5-10 arası,Klima,2.0,1,0,Açık Otopark,1,1,0,1200,30000,30000.0
Yüksekalan Mh.,100.0,90.0,2+1,7.0,4,26-30 arası,Klima,1.0,1,1,Yok,0,0,0,250,25000,21000.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,2,3,Klima,1.0,0,1,Kapalı Otopark,1,1,0,1000,35000,21000.0
Elmalı Mh.,60.0,50.0,1+1,7.0,1,31 ve üzeri,Klima,1.0,0,1,Yok,1,0,0,250,0,15000.0
Kızılarık Mh.,130.0,120.0,3+1,4.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,0,18500,18500.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,200,25000,13500.0
Fener Mah.,70.0,60.0,1+1,2.0,Bahçe Katı,5-10 arası,Klima,1.0,0,0,Yok,1,0,0,0,21000,21000.0
Yeşilbahçe Mh.,195.0,185.0,3+1,10.0,10,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,0,95000,95000.0
Bayındır Mh.,100.0,95.0,2+1,4.0,1,4,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,1,0,0,24500.0
Fener Mah.,185.0,175.0,3+1,10.0,9,26-30 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,300,48000,48000.0
Güzeloba Mh.,95.0,90.0,2+1,2.0,2,2,Klima,1.0,1,0,Kapalı Otopark,0,1,0,1000,50000,35000.0
Sedir Mah.,105.0,90.0,2+1,4.0,3,0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,350,44000,22000.0
Yeşilbahçe Mh.,75.0,60.0,1+1,4.0,Yüksek Giriş,11-15 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,200,25000,15000.0
Sinan Mah.,110.0,100.0,2+1,4.0,3,4,Klima,2.0,1,0,Yok,1,0,0,0,30000,20000.0
Çağlayan Mh.,160.0,130.0,3+1,6.0,3,21-25 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0,20000.0
Fener Mah.,230.0,220.0,3+1,8.0,2,21-25 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,300,0,27000.0
Etiler Mah.,110.0,100.0,2+1,3.0,3,16-20 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,150,15000,15000.0
Deniz Mah.,100.0,85.0,2+1,4.0,1,31 ve üzeri,Klima,1.0,1,0,Yok,0,0,0,0,15000,15000.0
Deniz Mah.,152.0,140.0,3+1,7.0,6,26-30 arası,Kombi (Doğalgaz),1.0,1,1,Yok,0,0,0,0,0,25000.0
Kızılarık Mh.,100.0,90.0,2+1,4.0,3,5-10 arası,Soba,1.0,1,1,Yok,0,0,0,0,0,13000.0
Gençlik Mh.,105.0,95.0,2+1,6.0,2,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,1500,35000,42500.0
Çaybaşı Mh.,100.0,90.0,2+1,5.0,Bahçe Katı,5-10 arası,Klima,1.0,1,0,Açık Otopark,0,0,1,150,21500,21500.0
Etiler Mah.,145.0,140.0,3+1,3.0,Giriş Katı,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,20000,13500.0
Çağlayan Mh.,80.0,65.0,1+1,4.0,4,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,100,15000,15000.0
Güzeloba Mh.,110.0,100.0,2+1,2.0,2,0,Kombi (Doğalgaz),2.0,1,0,Yok,1,0,0,1000,25000,25000.0
Güzeloba Mh.,105.0,90.0,2+1,2.0,Villa Tipi,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,20000,20000.0
Güzeloba Mh.,65.0,60.0,1+1,6.0,Yüksek Giriş,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,1000,19000,19000.0
Çağlayan Mh.,70.0,60.0,1+1,3.0,3,4,Klima,1.0,1,1,Açık Otopark,1,0,0,0,20000,20000.0
Fener Mah.,210.0,190.0,3+1,13.0,11,21-25 arası,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,1,1,0,0,160000,80000.0
Meydankavağı Mh.,110.0,90.0,2+1,4.0,1,4,Klima,1.0,1,1,Açık Otopark,1,0,0,0,25000,25000.0
Çağlayan Mh.,45.0,40.0,1+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,400,20000,15000.0
Fener Mah.,180.0,160.0,3+1,14.0,13,16-20 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,700,30000,28000.0
Güzeloba Mh.,80.0,70.0,2+1,2.0,Yüksek Giriş,16-20 arası,Yok,1.0,1,0,Açık Otopark,0,1,0,50,13000,13000.0
Altındağ Mh.,130.0,94.0,3+1,7.0,7,31 ve üzeri,Klima,1.0,1,1,Açık Otopark,0,0,0,150,14000,14000.0
Şirinyalı Mh.,200.0,180.0,4+1,12.0,5,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,0,0,0,75000.0
Muratpaşa Mh.,135.0,125.0,2+1,4.0,3,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,14000,13000.0
Güzeloba Mh.,85.0,75.0,1+1,2.0,Bahçe Katı,16-20 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,0,1000,20000,15000.0
Çağlayan Mh.,190.0,175.0,3+1,9.0,3,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,0,1000,70000,35000.0
Güvenlik Mh.,90.0,75.0,2+1,3.0,2,5-10 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,0,16000,16000.0
Şirinyalı Mh.,210.0,190.0,5+1,13.0,12,16-20 arası,Yok,2.0,1,1,Açık Otopark,0,0,0,900,0,30000.0
Gebizli Mah.,100.0,85.0,2+1,6.0,4,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,18500,18500.0
Fener Mah.,115.0,110.0,3+1,13.0,11,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,25000,25000.0
Güzeloba Mh.,105.0,90.0,2+1,2.0,1,11-15 arası,Yok,2.0,1,0,Yok,0,0,0,0,17000,17000.0
Elmalı Mh.,50.0,40.0,1+1,4.0,3,26-30 arası,Klima,1.0,1,1,Yok,1,0,0,70,12500,12500.0
Güzeloba Mh.,160.0,145.0,3+1,10.0,8,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,0,47000,47000.0
Güzeloba Mh.,60.0,50.0,1+1,2.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,1,0,0,150,20000,14000.0
Varlık Mh.,110.0,105.0,3+1,6.0,3,3,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0,25000.0
Çağlayan Mh.,200.0,160.0,4+1,6.0,6,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,1,0,0,0,30000.0
Güzeloba Mh.,55.0,45.0,1+1,2.0,1,2,Klima,1.0,1,0,Yok,0,0,0,0,0,14000.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,18500,18000.0
Dutlubahçe Mh.,85.0,80.0,2+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,13500,13500.0
Bahçelievler Mh.,250.0,200.0,3+1,8.0,7,16-20 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0,50000.0
Güzeloba Mh.,55.0,45.0,1+1,8.0,6,0,Klima,1.0,0,1,Kapalı Otopark,1,0,0,0,32500,31000.0
Sedir Mah.,140.0,130.0,3+1,5.0,4,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,100,16000,16000.0
Üçgen Mh.,100.0,85.0,2+1,5.0,2,16-20 arası,Klima,1.0,1,0,Yok,0,0,0,0,13000,13000.0
Fener Mah.,90.0,85.0,2+1,2.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Yok,1,0,0,0,50000,26000.0
Çağlayan Mh.,120.0,110.0,2+1,7.0,3,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0,28000.0
Fener Mah.,90.0,80.0,2+1,3.0,Bahçe Katı,16-20 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,22000.0
Kızılsaray Mh.,100.0,90.0,2+1,3.0,Yüksek Giriş,21-25 arası,Klima,1.0,1,1,Yok,0,0,0,0,15000,13500.0
Şirinyalı Mh.,250.0,240.0,4+1,4.0,1,21-25 arası,Klima,2.0,1,0,Yok,0,0,0,0,0,35000.0
Kızılarık Mh.,100.0,95.0,2+1,5.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,13000,13000.0
Fener Mah.,95.0,85.0,2+1,3.0,3,4,Klima,1.0,1,0,Açık Otopark,1,0,1,500,35000,35000.0
Güzeloba Mh.,55.0,45.0,1+1,3.0,1,11-15 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,250,13500,15000.0
Mehmetçik Mh.,130.0,125.0,3+1,4.0,Giriş Katı,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,15750,15750.0
Şirinyalı Mh.,180.0,165.0,3+1,4.0,3,16-20 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,300,0,25000.0
Güzeloba Mh.,95.0,85.0,2+1,8.0,8,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,0,27000.0
Meltem Mah.,160.0,150.0,3+1,8.0,4,26-30 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,800,50000,50000.0
Konuksever Mah.,70.0,60.0,1+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,12000.0
Güzeloba Mh.,120.0,95.0,2+1,2.0,Bahçe Katı,2,Klima,1.0,1,1,Açık Otopark,0,0,0,1500,30000,32000.0
Haşimişcan Mh.,60.0,55.0,1+1,4.0,Bodrum Kat,26-30 arası,Klima,1.0,0,0,Açık Otopark,0,0,0,0,12500,12500.0
Güzeloba Mh.,120.0,110.0,2+1,2.0,2,5-10 arası,Klima,2.0,1,0,Yok,1,0,0,200,25000,25000.0
Güzeloba Mh.,70.0,65.0,1+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,15500,15000.0
Şirinyalı Mh.,175.0,165.0,3+1,4.0,3,21-25 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,250,21000,21000.0
Kışla Mh.,135.0,125.0,2+1,4.0,1,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,24000,12000.0
Güzeloba Mh.,200.0,190.0,4+2,2.0,2,16-20 arası,Klima,2.0,1,0,Açık Otopark,0,1,0,350,22000,22000.0
Mehmetçik Mh.,85.0,80.0,2+1,5.0,3,5-10 arası,Merkezi (Pay Ölçer),2.0,1,1,Açık & Kapalı Otopark,0,1,0,2000,0,20000.0
Muratpaşa Mh.,75.0,65.0,1+1,5.0,3,11-15 arası,Klima,1.0,0,1,Açık Otopark,0,0,0,0,12500,12500.0
Fener Mah.,280.0,250.0,4+1,10.0,6,21-25 arası,Klima,3.0,1,1,Açık & Kapalı Otopark,0,0,0,3500,65000,65000.0
Güzelbağ Mh.,85.0,80.0,2+1,2.0,2,16-20 arası,Klima,1.0,1,0,Yok,0,0,0,0,15000,15000.0
Gebizli Mah.,70.0,60.0,1+1,5.0,4,0,Klima,1.0,1,1,Kapalı Otopark,1,1,0,350,17000,17000.0
Yeşilbahçe Mh.,170.0,160.0,3+1,4.0,3,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,250,25000,26500.0
Kızılarık Mh.,140.0,120.0,3+1,5.0,2,4,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,1,200,50000,20000.0
Yeşilbahçe Mh.,160.0,150.0,3+1,7.0,5,21-25 arası,Yok,1.0,1,1,Açık Otopark,0,1,0,250,20000,20000.0
Güzeloba Mh.,95.0,75.0,2+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,0,0,0,250,36000,18000.0
Varlık Mh.,110.0,100.0,2.5+1,7.0,6,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,100,19000,18000.0
Gençlik Mh.,155.0,145.0,3+1,4.0,3,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0,30000.0
Güzeloba Mh.,65.0,55.0,1+1,2.0,1,2,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,700,20000,20000.0
Güvenlik Mh.,60.0,50.0,1+1,5.0,Bodrum Kat,0,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0,13500.0
Yüksekalan Mh.,165.0,150.0,3+1,7.0,6,31 ve üzeri,Klima,1.0,1,1,Yok,0,0,0,0,16000,16000.0
Güzeloba Mh.,65.0,60.0,1+1,8.0,2,5-10 arası,Klima,1.0,0,1,Açık Otopark,1,1,0,1000,15000,15000.0
Şirinyalı Mh.,160.0,150.0,2+1,1.0,Yüksek Giriş,11-15 arası,Klima,2.0,1,1,Açık Otopark,1,0,0,200,0,30000.0
Çağlayan Mh.,70.0,56.0,1+1,4.0,Yüksek Giriş,4,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,0,400,0,22000.0
Cumhuriyet Mah.,155.0,140.0,3+1,5.0,4,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,100,12000,12000.0
Zerdalilik Mah.,160.0,150.0,3+1,4.0,2,21-25 arası,Yok,1.0,1,0,Yok,0,0,0,0,16000,16000.0
Üçgen Mh.,95.0,90.0,2+1,8.0,4,5-10 arası,Yok,1.0,1,1,Yok,0,0,1,0,18000,18000.0
Çağlayan Mh.,400.0,350.0,5+1,9.0,9,16-20 arası,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,0,0,2000,120000,100000.0
Fener Mah.,85.0,75.0,2+1,2.0,1,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,100,30000,26000.0
Güzeloba Mh.,65.0,60.0,1+1,8.0,6,3,Klima,1.0,0,1,Açık Otopark,0,0,0,700,0,11000.0
Kızıltoprak Mh.,115.0,110.0,2+1,3.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,150,12000,12000.0
Yeşilbahçe Mh.,180.0,165.0,3+1,10.0,6,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,115000,58000.0
Güzeloba Mh.,60.0,55.0,1+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,1,0,1,100,30000,17000.0
Fener Mah.,80.0,75.0,2+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Yok,1,0,0,100,15000,17500.0
Şirinyalı Mh.,235.0,200.0,4+1,4.0,4,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,300,100000,50000.0
Güzeloluk Mh.,120.0,110.0,3+1,3.0,1,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,1,0,300,16250,15250.0
Güzeloba Mh.,85.0,70.0,2+1,1.0,1,4,Klima,1.0,1,0,Açık Otopark,1,1,0,1750,30000,30000.0
Gençlik Mh.,110.0,100.0,2+1,7.0,1,26-30 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,27000.0
